Project name,Total Number of Dependencies
sandmark,1.0
jgroups,1.0
maven,35.0
quilt,1.0
jparse,1.0
mvnforum,1.0
jtopen,0.0
jasml,1.0
poi,1.0
wct,2.0
htmlunit,2.0
myfaces_core,0.0
tomcat,3.0
proguard,2.0
hibernate,10.0
webmail,1.0
nekohtml,2.0
jchempaint,1.0
c_jdbc,0.0
ireport,7.0
jmoney,1.0
jrefactory,1.0
quartz,6.0
jasperreports,4.0
freemind,2.0
cobertura,1.0
axion,1.0
jedit,1.0
aspectj,6.0
findbugs,2.0
ivatagroupware,10.0
jsXe,1.0
jmeter,1.0
jgraph,3.0
trove,2.0
heritrix,2.0
velocity,2.0
pmd,4.0
nakedobjects,1.0
collections,1.0
sunflow,1.0
jpf,3.0
freecs,1.0
batik,26.0
drjava,1.0
castor,1.0
xalan,5.0
fitjava,0.0
log4j,1.0
aoi,0.0
jgraphpad,2.0
jhotdraw,5.0
freecol,0.0
quickserver,0.0
colt,1.0
displaytag,3.0
lucene,25.0
marauroa,1.0
springframework,26.0
struts,4.0
itext,0.0
fitlibraryforfitnesse,0.0
exoportal,0.0
argouml,23.0
jspwiki,0.0
columba,1.0
ant,23.0
jag,1.0
eclipse_SDK,0.0
informa,1.0
weka,1.0
antlr,1.0
sablecc,1.0
james,1.0
compiere,2.0
checkstyle,2.0
megamek,0.0
hsqldb,1.0
openjms,4.0
jext,1.0
cayenne,4.0
jung,10.0
jfreechart,4.0
galleon,1.0
tapestry,8.0
jboss,34.0
emma,2.0
roller,2.0
xmojo,5.0
gt2,1.0
picocontainer,1.0
oscache,1.0
jFin_DateMath,1.0
pooka,2.0
javacc,1.0
derby,23.0
drawswf,1.0
jstock,1.0
xerces,2.0
rssowl,3.0
jrat,1.0
jruby,3.0
junit,1.0
netbeans,1501.0
hadoop,2.0
squirrel_sql,0.0
jena,1.0
joggplayer,0.0
azureus,0.0
jre,0.0
jgrapht,1.0
ganttproject,5.0
